id;date;location;modell;color;getriebe;lederstoff;audiconnect;allrad;antrieb
7129300520;20141013T000000;Brandenburg;A4;Grau;Schaltgetriebe;Stoff;false;true;E-tron
6414100192;20141209T000000;Hessen;A8;Grau;Automatik;Leder;false;true;E-tron
5631500400;20150225T000000;Sachsen-Anhalt;A3;Silber;Schaltgetriebe;Leder;true;true;Diesel
2487200875;20141209T000000;Saarland;A7;Silber;Automatik;Leder;true;false;Diesel
1954400510;20150218T000000;Schleswig-Holstein;A5;Schwarz;Schaltgetriebe;Stoff;true;true;Diesel
7237550310;20130908T000000;Bayern;A7;Blau;Schaltgetriebe;Stoff;false;true;Benzin
1321400060;20130822T000000;Rheinland-Pfalz;A6;Grau;Schaltgetriebe;Leder;true;true;Diesel
2008000270;20130826T000000;Bremen;A8;Blau;Automatik;Leder;true;false;Diesel
2414600126;20131024T000000;Saarland;A5;Grau;Automatik;Leder;true;false;Diesel
3793500160;20131209T000000;Sachsen;A6;Weiß;Schaltgetriebe;Stoff;false;true;Diesel
1736800520;20131015T000000;Schleswig-Holstein;A1;Rot;Automatik;Stoff;true;false;Diesel
9212900260;20131120T000000;Thüringen;A1;Weiß;Automatik;Leder;false;true;Diesel
114101516;20130606T000000;Bayern;A3;Blau;Automatik;Stoff;true;false;Diesel
6054650070;20131023T000000;Baden-Württemberg;A8;Rot;Automatik;Leder;false;false;Benzin
1175000570;20130905T000000;Nordrhein-Westfalen;A7;Blau;Schaltgetriebe;Stoff;false;false;Benzin
9297300055;20131202T000000;Rheinland-Pfalz;A6;Grau;Schaltgetriebe;Stoff;false;false;E-tron
1875500060;20131124T000000;Brandenburg;A4;Weiß;Automatik;Leder;false;false;Diesel
6865200140;20130825T000000;Rheinland-Pfalz;A8;Blau;Schaltgetriebe;Leder;false;false;E-tron
16000397;20131105T000000;Baden-Württemberg;A5;Blau;Schaltgetriebe;Stoff;false;false;Benzin
7983200060;20130925T000000;Niedersachsen;A5;Schwarz;Automatik;Leder;true;true;E-tron
6300500875;20130620T000000;Sachsen-Anhalt;A6;Silber;Automatik;Stoff;false;false;E-tron
2524049179;20130605T000000;Brandenburg;A8;Weiß;Schaltgetriebe;Leder;false;false;Benzin
7137970340;20131104T000000;Berlin;A4;Weiß;Schaltgetriebe;Stoff;true;true;Benzin
8091400200;20131204T000000;Sachsen;A4;Rot;Automatik;Stoff;false;true;Diesel
3814700200;20130723T000000;Schleswig-Holstein;A6;Braun;Automatik;Leder;true;false;Diesel
1202000200;20130818T000000;Rheinland-Pfalz;A3;Braun;Automatik;Leder;true;true;Diesel
1794500383;20130709T000000;Berlin;A4;Rot;Schaltgetriebe;Leder;false;true;Diesel
3303700376;20130909T000000;Baden-Württemberg;A4;Grau;Schaltgetriebe;Leder;true;true;E-tron
5101402488;20130502T000000;Niedersachsen;A7;Grau;Automatik;Stoff;true;true;Diesel
1873100390;20131030T000000;Schleswig-Holstein;A4;Blau;Schaltgetriebe;Leder;false;true;Benzin
8562750320;20130711T000000;Bayern;A7;Silber;Schaltgetriebe;Leder;true;true;Benzin
2426039314;20130701T000000;Rheinland-Pfalz;A5;Silber;Automatik;Stoff;false;false;Diesel
461000390;20130723T000000;Schleswig-Holstein;A5;Weiß;Automatik;Leder;true;false;E-tron
7589200193;20130716T000000;Bayern;A6;Grau;Schaltgetriebe;Leder;false;true;Diesel
7955080270;20130820T000000;Schleswig-Holstein;A1;Weiß;Schaltgetriebe;Stoff;false;true;Diesel
9547205180;20130916T000000;Hamburg;A8;Blau;Schaltgetriebe;Leder;true;true;Benzin
9435300030;20130617T000000;Sachsen;A7;Grau;Automatik;Leder;true;true;Diesel
2768000400;20130730T000000;Saarland;A1;Weiß;Automatik;Stoff;true;true;Diesel
7895500070;20131103T000000;Rheinland-Pfalz;A5;Rot;Automatik;Stoff;true;true;Diesel
2078500320;20130819T000000;Hamburg;A4;Grau;Schaltgetriebe;Leder;false;true;Diesel
5547700270;20131106T000000;Thüringen;A5;Rot;Automatik;Leder;true;false;Diesel
7766200013;20130805T000000;Sachsen;A3;Rot;Automatik;Stoff;false;false;Benzin
7203220400;20130828T000000;Sachsen-Anhalt;A6;Braun;Automatik;Stoff;false;true;E-tron
9270200160;20130606T000000;Niedersachsen;A4;Blau;Automatik;Stoff;true;true;Benzin
1432701230;20130612T000000;Bremen;A3;Schwarz;Automatik;Stoff;false;false;E-tron
8035350320;20131104T000000;Brandenburg;A1;Blau;Schaltgetriebe;Stoff;true;true;E-tron
8945200830;20130627T000000;Thüringen;A6;Schwarz;Automatik;Leder;false;true;E-tron
