Kategorie: Alle Kategorien

Region,Audi A8: (2014),Audi A3: (2014),Audi A4: (2014),Audi A5: (2014),Audi A6: (2014)
Bayern,12,80,100,24,63
Thüringen,11,72,100,16,68
Saarland,11,94,99,25,53
Niedersachsen,15,74,98,23,73
Sachsen-Anhalt,13,64,98,16,71
Sachsen,14,66,97,16,70
Mecklenburg-Vorpommern,12,56,96,17,73
Rheinland-Pfalz,13,79,93,24,60
Baden-Württemberg,12,73,86,22,58
Brandenburg,12,58,86,14,66
Schleswig-Holstein,12,62,82,17,61
Hessen,12,69,81,23,58
Bremen,15,58,81,21,65
Hamburg,13,63,79,19,59
Nordrhein-Westfalen,12,65,75,20,56
Berlin,13,57,70,17,52
