Kategorie: Alle Kategorien

Region,Audi A8: (2015),Audi A3: (2015),Audi A4: (2015),Audi A5: (2015),Audi A6: (2015)
Thüringen,13,64,100,18,67
Sachsen,13,59,97,16,66
Bayern,12,69,96,23,59
Saarland,10,83,93,24,56
Niedersachsen,14,62,92,23,66
Sachsen-Anhalt,11,57,91,18,63
Rheinland-Pfalz,12,71,90,25,59
Brandenburg,12,50,85,14,59
Hamburg,13,58,84,23,60
Baden-Württemberg,10,61,83,23,54
Mecklenburg-Vorpommern,11,51,82,14,67
Hessen,11,62,81,23,56
Bremen,14,54,81,23,59
Schleswig-Holstein,11,50,79,17,57
Berlin,13,53,76,17,53
Nordrhein-Westfalen,12,59,75,23,53
